iter	Logloss	Accuracy
0	0.6842208544	0.8507751938
1	0.6739036542	0.8546511628
2	0.6645229645	0.8624031008
3	0.6557658675	0.859496124
4	0.6462216444	0.859496124
5	0.6378844024	0.8624031008
6	0.628425154	0.8624031008
7	0.6203956503	0.8662790698
8	0.6132638939	0.8653100775
9	0.607524056	0.863372093
10	0.6002696878	0.863372093
11	0.5929580124	0.8604651163
12	0.5860975495	0.8604651163
13	0.5801818398	0.8604651163
14	0.5745145142	0.8614341085
15	0.5678775892	0.859496124
16	0.5618166261	0.859496124
17	0.5550215502	0.859496124
18	0.5489449154	0.8604651163
19	0.5439003233	0.8604651163
20	0.5374495698	0.859496124
21	0.5303696114	0.8624031008
22	0.5261619713	0.8624031008
23	0.5211897399	0.8624031008
24	0.5160514387	0.8604651163
25	0.5114557243	0.8604651163
26	0.5072898944	0.8604651163
27	0.502846124	0.8604651163
28	0.4978747957	0.8604651163
29	0.4937453203	0.859496124
30	0.4884792651	0.863372093
31	0.483964026	0.863372093
32	0.4782752184	0.8653100775
33	0.4737714047	0.8643410853
34	0.4701293138	0.8643410853
35	0.4664316941	0.8624031008
36	0.4613264311	0.867248062
37	0.4576748459	0.8662790698
38	0.4542909634	0.8643410853
39	0.4508079998	0.8643410853
40	0.4474545375	0.8643410853
41	0.4436143423	0.8643410853
42	0.4401789966	0.8653100775
43	0.4367664539	0.8653100775
44	0.4337027845	0.867248062
45	0.4296974968	0.867248062
46	0.4268987514	0.867248062
47	0.423010462	0.867248062
48	0.4197247163	0.8682170543
49	0.4169018768	0.867248062
50	0.4143613893	0.867248062
51	0.4117595494	0.8682170543
52	0.4094671057	0.867248062
53	0.4070128021	0.867248062
54	0.4047136406	0.8682170543
55	0.4018874415	0.8691860465
56	0.3998444577	0.867248062
57	0.3969133347	0.867248062
58	0.3949683861	0.8662790698
59	0.3921996808	0.867248062
60	0.3896684926	0.8662790698
61	0.3873393691	0.867248062
62	0.3852392848	0.8701550388
63	0.3831525242	0.8701550388
64	0.3810119394	0.8701550388
65	0.3793611392	0.8701550388
66	0.3774942257	0.8701550388
67	0.3754804299	0.8701550388
68	0.3735502629	0.8701550388
69	0.371839771	0.8701550388
70	0.3692504137	0.8701550388
71	0.3673217243	0.8701550388
72	0.3659640342	0.8701550388
73	0.3637509877	0.8701550388
74	0.3619141358	0.8720930233
75	0.3604064729	0.8701550388
76	0.3586800906	0.8701550388
77	0.3573220235	0.8701550388
78	0.3555280774	0.871124031
79	0.3537275965	0.8730620155
80	0.3521170272	0.8730620155
81	0.3498187254	0.8720930233
82	0.3482344639	0.8720930233
83	0.3467976568	0.8720930233
84	0.345489216	0.8740310078
85	0.3434159544	0.8730620155
86	0.3423452602	0.8740310078
87	0.3404930609	0.8740310078
88	0.3385762294	0.878875969
89	0.3370529919	0.8817829457
90	0.3355669721	0.8837209302
91	0.3340755663	0.8846899225
92	0.3335367929	0.8837209302
93	0.3326396161	0.8875968992
94	0.3304093309	0.8875968992
95	0.3293431658	0.8875968992
96	0.3277628988	0.8875968992
97	0.3265065529	0.8856589147
98	0.3253241183	0.8856589147
99	0.3245778627	0.8856589147
100	0.3233030817	0.8875968992
101	0.3221308988	0.886627907
102	0.320541828	0.8875968992
103	0.3193933726	0.886627907
104	0.3179867209	0.8885658915
105	0.316504104	0.886627907
106	0.3155692316	0.8875968992
107	0.3144406266	0.8885658915
108	0.3132361003	0.8885658915
109	0.3123145862	0.8953488372
110	0.311352666	0.8972868217
111	0.3099256328	0.8963178295
112	0.3091365898	0.8963178295
113	0.308522748	0.8992248062
114	0.3071230308	0.9031007752
115	0.3061025077	0.9011627907
116	0.3054481625	0.9011627907
117	0.3039469524	0.9011627907
118	0.3028692931	0.9011627907
119	0.3016821014	0.9021317829
120	0.3008178843	0.9021317829
121	0.2999770302	0.9031007752
122	0.2988509411	0.9031007752
123	0.2979631397	0.9040697674
124	0.2973054382	0.9050387597
125	0.296304546	0.9040697674
126	0.2958365602	0.9040697674
127	0.2946985009	0.9040697674
128	0.2936892156	0.9040697674
129	0.2927630463	0.9040697674
130	0.2917199854	0.9031007752
131	0.2906554561	0.9031007752
132	0.2893181298	0.9040697674
133	0.2883177777	0.9050387597
134	0.2875308302	0.9050387597
135	0.2868814564	0.9040697674
136	0.2861120799	0.9031007752
137	0.2849728383	0.9040697674
138	0.2839790724	0.9040697674
139	0.2831385303	0.9060077519
140	0.2825415204	0.9031007752
141	0.2820199759	0.9031007752
142	0.2815497008	0.9031007752
143	0.2808826604	0.9040697674
144	0.2800110225	0.9040697674
145	0.2791156524	0.9040697674
146	0.2783065029	0.9050387597
147	0.2778796908	0.9050387597
148	0.2774327431	0.9050387597
149	0.2764369253	0.9050387597
150	0.2757825493	0.9050387597
151	0.2753117183	0.9050387597
152	0.2749729334	0.9040697674
153	0.2746013071	0.9050387597
154	0.2740215364	0.9050387597
155	0.2732640998	0.9050387597
156	0.2724883742	0.9050387597
157	0.2722551363	0.9050387597
158	0.2713432321	0.9050387597
159	0.2702781307	0.9060077519
160	0.2692278374	0.9069767442
161	0.2688847876	0.9069767442
162	0.2684015906	0.9069767442
163	0.26737266	0.9060077519
164	0.266987979	0.9069767442
165	0.266333615	0.9069767442
166	0.2656048004	0.9079457364
167	0.2650624398	0.9089147287
168	0.2641204525	0.9089147287
169	0.2638345495	0.9089147287
170	0.2632348259	0.9089147287
171	0.2626825649	0.9089147287
172	0.26202922	0.9098837209
173	0.2613664872	0.9098837209
174	0.2608015634	0.9098837209
175	0.2600955886	0.9098837209
176	0.2593659094	0.9098837209
177	0.2589387948	0.9098837209
178	0.2583406021	0.9098837209
179	0.2578397339	0.9098837209
180	0.2573852113	0.9098837209
181	0.2568067024	0.9098837209
182	0.2563353253	0.9098837209
183	0.255867671	0.9098837209
184	0.2552221067	0.9098837209
185	0.254514164	0.9108527132
186	0.2540803212	0.9108527132
187	0.2536873877	0.9108527132
188	0.2531789304	0.9108527132
189	0.2525788662	0.9108527132
190	0.2523889532	0.9118217054
191	0.2521268358	0.9098837209
192	0.2514160046	0.9118217054
193	0.2512262888	0.9118217054
194	0.2508068237	0.9118217054
195	0.2502779613	0.9118217054
196	0.2497408676	0.9118217054
197	0.2492474669	0.9118217054
198	0.2488663159	0.9118217054
199	0.248290704	0.9118217054
200	0.2480178891	0.9118217054
201	0.2475607592	0.9127906977
202	0.2472229705	0.9127906977
203	0.2467531796	0.9127906977
204	0.2461737313	0.9137596899
205	0.2458668687	0.9137596899
206	0.2451480945	0.9137596899
207	0.2446727105	0.9147286822
208	0.2444482892	0.9147286822
209	0.2441103003	0.9147286822
210	0.2436723213	0.9147286822
211	0.2430743511	0.9147286822
212	0.2425844169	0.9147286822
213	0.242140167	0.9147286822
214	0.2418755291	0.9156976744
215	0.241397707	0.9156976744
216	0.2409715417	0.9156976744
217	0.2404797218	0.9147286822
218	0.239938803	0.9137596899
219	0.2392680138	0.9137596899
220	0.2386967514	0.9137596899
221	0.2385039514	0.9137596899
222	0.2383127827	0.9137596899
223	0.2379544578	0.9137596899
224	0.2377021635	0.9147286822
225	0.2372819089	0.9137596899
226	0.2367921962	0.9137596899
227	0.236529597	0.9147286822
228	0.2360268063	0.9147286822
229	0.2357443262	0.9147286822
230	0.2354857344	0.9156976744
231	0.2350669171	0.9156976744
232	0.2347381915	0.9166666667
233	0.2345511224	0.9166666667
234	0.2341062871	0.9166666667
235	0.2339229276	0.9176356589
236	0.2335632176	0.9176356589
237	0.2335020418	0.9176356589
238	0.2330314909	0.9176356589
239	0.2325162029	0.9166666667
240	0.2322875997	0.9166666667
241	0.2321607617	0.9176356589
242	0.2321183924	0.9166666667
243	0.2319162057	0.9186046512
244	0.2317974703	0.9186046512
245	0.2313369636	0.9176356589
246	0.2310433289	0.9195736434
247	0.2308695168	0.9195736434
248	0.2307085152	0.9195736434
249	0.2305322962	0.9195736434
250	0.230182571	0.9205426357
251	0.2298261079	0.9195736434
252	0.2295835618	0.9195736434
253	0.2290847792	0.9195736434
254	0.2286380793	0.9195736434
255	0.2283314257	0.9186046512
256	0.2280058343	0.9215116279
257	0.2275759362	0.9215116279
258	0.2273067946	0.9215116279
259	0.2270612039	0.9205426357
260	0.2266860274	0.9195736434
261	0.226391385	0.9195736434
262	0.2261756147	0.9205426357
263	0.2259217146	0.9205426357
264	0.2255802037	0.9205426357
265	0.2253260909	0.9205426357
266	0.2249041473	0.9205426357
267	0.2248222632	0.9205426357
268	0.2245655254	0.9205426357
269	0.2244807013	0.9205426357
270	0.2240009967	0.9205426357
271	0.2236508859	0.9215116279
272	0.2234395994	0.9215116279
273	0.2231353182	0.9215116279
274	0.2227102476	0.9215116279
275	0.2223723995	0.9224806202
276	0.2221000118	0.9224806202
277	0.2218631266	0.9224806202
278	0.2216236237	0.9224806202
279	0.2212304239	0.9224806202
280	0.2210801222	0.9234496124
281	0.2208743634	0.9234496124
282	0.2204409509	0.9234496124
283	0.2199100661	0.9234496124
284	0.2195803417	0.9253875969
285	0.2195514622	0.9253875969
286	0.2193883429	0.9253875969
287	0.2192063135	0.9253875969
288	0.2188716499	0.9273255814
289	0.2185976506	0.9273255814
290	0.2182834451	0.9273255814
291	0.2181137719	0.9273255814
292	0.2178507842	0.9273255814
293	0.2177185936	0.9273255814
294	0.2174148953	0.9273255814
295	0.2170754841	0.9282945736
296	0.2168772333	0.9292635659
297	0.2166111312	0.9292635659
298	0.2164797379	0.9292635659
299	0.2161112923	0.9292635659
300	0.2159978712	0.9292635659
301	0.2157212091	0.9282945736
302	0.2155820298	0.9292635659
303	0.2154859965	0.9292635659
304	0.2154162759	0.9292635659
305	0.2151100279	0.9312015504
306	0.2148134771	0.9302325581
307	0.2146463489	0.9312015504
308	0.2142946809	0.9312015504
309	0.2138721267	0.9312015504
310	0.2137414182	0.9312015504
311	0.2134795246	0.9312015504
312	0.2131777447	0.9312015504
313	0.2130276399	0.9312015504
314	0.2126737132	0.9312015504
315	0.2125571563	0.9312015504
316	0.21227378	0.9312015504
317	0.2119425861	0.9312015504
318	0.2118044592	0.9312015504
319	0.2116977057	0.9312015504
320	0.2115331007	0.9312015504
321	0.2113900226	0.9312015504
322	0.2111472731	0.9312015504
323	0.211036489	0.9312015504
324	0.2109351284	0.9312015504
325	0.2109152217	0.9312015504
326	0.2107303834	0.9312015504
327	0.2105359319	0.9331395349
328	0.2102961771	0.9331395349
329	0.2101615274	0.9331395349
330	0.2098561503	0.9331395349
331	0.2095368275	0.9331395349
332	0.2092796216	0.9331395349
333	0.2090582099	0.9331395349
334	0.2088244592	0.9331395349
335	0.2085743556	0.9331395349
336	0.2083975148	0.9321705426
337	0.2081831501	0.9321705426
338	0.2079530108	0.9321705426
339	0.2077164089	0.9321705426
