iter	Passed	Remaining
0	64	63952
1	66	33165
2	68	22864
3	71	17730
4	73	14571
5	75	12505
6	77	11044
7	80	9939
8	82	9081
9	90	8911
10	91	8256
11	93	7733
12	95	7276
13	97	6870
14	99	6541
15	101	6259
16	103	6005
17	106	5785
18	110	5706
19	120	5882
20	123	5755
21	127	5652
22	130	5526
23	133	5437
24	135	5293
25	137	5163
26	139	5024
27	142	4931
28	144	4826
29	146	4723
30	148	4648
31	151	4570
32	154	4539
33	159	4544
34	162	4468
35	163	4378
36	165	4313
37	167	4244
38	169	4184
39	172	4132
40	174	4080
41	177	4040
42	179	3989
43	181	3946
44	184	3908
45	186	3871
46	188	3831
47	190	3784
48	196	3805
49	199	3792
50	201	3747
51	203	3716
52	205	3680
53	208	3651
54	211	3625
55	213	3594
56	214	3554
57	217	3529
58	218	3490
59	221	3466
60	223	3446
61	226	3422
62	228	3402
63	231	3378
64	233	3352
65	235	3328
66	237	3304
67	239	3284
68	245	3312
69	247	3287
70	249	3259
71	250	3232
72	252	3206
73	254	3179
74	255	3154
75	257	3129
76	259	3105
77	260	3083
78	262	3059
79	264	3037
80	265	3014
81	267	2993
82	269	2974
83	271	2955
84	272	2935
85	274	2915
86	276	2899
87	277	2880
88	279	2862
89	281	2844
90	282	2825
91	284	2808
92	285	2786
93	287	2769
94	288	2752
95	290	2735
96	292	2721
97	293	2705
98	295	2689
99	297	2674
100	298	2659
101	300	2646
102	302	2632
103	304	2620
104	306	2609
105	307	2596
106	309	2583
107	311	2571
108	312	2558
109	314	2545
110	316	2533
111	317	2520
112	319	2508
113	321	2498
114	323	2487
115	324	2475
116	326	2464
117	328	2452
118	329	2441
119	331	2431
120	333	2420
121	334	2409
122	336	2398
123	337	2387
124	340	2380
125	341	2369
126	343	2359
127	344	2349
128	346	2340
129	347	2328
130	349	2319
131	351	2310
132	353	2301
133	354	2293
134	356	2284
135	358	2275
136	359	2267
137	361	2258
138	363	2250
139	364	2241
140	366	2233
141	368	2225
142	370	2218
143	371	2210
144	373	2201
145	375	2193
146	376	2185
147	378	2178
148	379	2170
149	381	2162
150	383	2155
151	385	2151
152	387	2146
153	389	2139
154	391	2134
155	393	2129
156	395	2124
157	397	2116
158	399	2110
159	401	2105
160	403	2103
161	408	2112
162	410	2109
163	413	2105
164	415	2100
165	417	2097
166	420	2095
167	421	2089
168	423	2081
169	425	2076
170	426	2069
171	428	2062
172	430	2056
173	431	2049
174	433	2043
175	435	2037
176	436	2031
177	438	2025
178	440	2019
179	442	2013
180	443	2007
181	445	2001
182	446	1995
183	448	1990
184	450	1984
185	452	1978
186	453	1972
187	455	1966
188	457	1961
189	459	1958
190	461	1953
191	462	1947
192	464	1942
193	466	1936
194	467	1931
195	469	1925
196	471	1920
197	472	1914
198	474	1909
199	476	1904
200	477	1899
201	479	1894
202	481	1889
203	482	1883
204	484	1878
205	486	1873
206	488	1870
207	489	1865
208	491	1861
209	493	1856
210	495	1853
211	497	1848
212	499	1844
213	501	1841
214	502	1836
215	504	1831
216	506	1826
217	507	1821
218	509	1816
219	511	1812
220	512	1807
221	514	1803
222	516	1798
223	519	1800
224	521	1795
225	522	1791
226	524	1786
227	526	1782
228	528	1778
229	529	1773
230	531	1769
231	533	1764
232	534	1760
233	536	1756
234	538	1751
235	539	1747
236	541	1743
237	542	1737
238	544	1732
239	545	1728
240	547	1724
241	548	1719
242	549	1713
